,Location,latitude,longitude,geocoding_Notes
0,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
1,I am on Bowen Island!,44.24,-79.46,
2,"Kamloops BC, Canada",50.6766,-120.3417,
3,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
4,"Ottawa, Ontario, Canada",45.421,-75.69,
5,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
6,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
7,"(Vancouver, British Columbia, Canada).",49.2609,-123.1139,
8,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
9,"Vancouver, BC, Canada",49.2609,-123.1139,
10,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
11,"I am currently In Vancouver, British Columbia, Canada. My time zone may change, as I have to go to St. louis Missouri, USA during the month of June.  ",,,Geocoding Failed
12,"Abbotsford, British Columbia, Canada",49.0522,-122.3292,
13,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
14,"I am located in Surrey, British Columbia, Canada!",49.1851,-122.8447,
15,vancouver,49.2609,-123.1139,
16,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
17,"Vancouver, BC",49.2609,-123.1139,
18,"Richmond, British Columbia, Canada",49.1633,-123.1369,
19,"Manila, Philippines",14.58333,121.0,
20,Vancouver/ Nanaimo BC,,,Geocoding Failed
21,"Hong Kong SAR, China",23.14475,113.243949,
22,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
23,"New Delhi, India ",28.7,77.2,
24,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
25,"Vancouver, BC",49.2609,-123.1139,
26,"Surrey, British Columbia, Canada",49.1851,-122.8447,
27,Meguro-ku / Tokyo / Japan,,,Geocoding Failed
28,"Interior BC (Kootenays), Canada",55.1712152811,-125.022796545935,
29,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
30,"North Vancouver, BC, Canada",49.3266,-122.9714,
31,"White Rock, British Columbia, Canada. ",49.0246,-122.7998,
32,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
33,"Currently, I am in Vancouver, BC, Canada. I will be back in Setagaya, Tokyo, Japan in two weeks.",55.1712152811,-125.022796545935,
34,"White Rock, British Columbia, Canada. ",49.0246,-122.7998,
35,"Vancouver, South Cambie

 

This question is pretty cool",64.9975884448459,-18.6054668169534,
36,"Vancouver, British Columbia",49.2609,-123.1139,
37,"Delta, BC",49.0847,-123.058,
38,"Burnaby, British Columbia, Canada",49.2433,-122.9726,
39,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
40,"Richmond, British Columbia, Canada",49.1633,-123.1369,
41,"Vancouver, British Columbia, Canada.",49.2609,-123.1139,
42,"Richmond, British Columbia, Canada",49.1633,-123.1369,
43,"Vancouver, British Columbia ",49.2609,-123.1139,
44,"Vancouver, British Columbia, Canada ",49.2609,-123.1139,
45,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
46,"Vancouver, British Columbia, Canada.",49.2609,-123.1139,
47,"Coquitlam, BC, Canada!",49.2836,-122.7943,
48,"Vancouver, British Columbia, Canada",49.2609,-123.1139,
49,"Ottawa, Ontario, Canada",45.421,-75.69,
50,"Ottawa, Ontario, Canada",45.421,-75.69,
51,"Ottawa, Ontario, Canada",45.421,-75.69,
52,"Richmond, British Columbia, Canada",49.1633,-123.1369,
53,"Evansville, Indiana, United States",37.9748,-87.5558,
54,Vancouver,49.2609,-123.1139,
55,"Richmond, BC, Canada ",49.1633,-123.1369,
